GNMUID	Genome ID	Completeness	Contamination	Genome size (bp)	estimated size
GNM016814095	Sulfitobacter mediterraneus SC5-43	99.57	0.38	3935353	3937322 
GNM900313005	Rhodobacteraceae bacterium EL129	100	0	3937835	3937835 
GNM016814245	Sulfitobacter mediterraneus SC5-13	99.57	0.38	3935957	3937926 
GNM016814175	Sulfitobacter mediterraneus SC5-16	99.57	0.38	3936164	3938133 
GNM004349565	Sulfitobacter indolifex SAORIC-263	100	0.15	3945330	3939421 
GNM900102535	Sulfitobacter delicatus DSM 16477	99.54	0.31	3936078	3941991 
GNM002119405	Pseudoruegeria sp. SK021	99.69	0.92	3966811	3942760 
GNM900109555	Pacificibacter marinus DSM 25228	97.55	0.61	3870734	3943291 
GNM016814055	Sulfitobacter mediterraneus SC5-48	99.57	0.38	3941402	3943374 
GNM016813905	Sulfitobacter mediterraneus SC5-9	99.57	0.38	3941860	3943832 
GNM016888515	Shimia biformata JCM 18818	99.57	0.32	3939854	3944193 
GNM007855645	Litoreibacter sp. LN3S51	99.09	0.51	3928515	3944292 
GNM004011175	Tranquillimonas sp. M0103	99.69	0.92	3969393	3945327 
GNM004343075	Rhodovulum marinum DSM 18063	99.69	0.38	3948575	3945813 
GNM019801155	Phaeobacter italicus  strain=DP2N14-3	99.77	0	3938762	3947842 
GNM2828402302	Celeribacter manganoxidans DSM 27541	99.09	0.4	3936200	3956378 
GNM002504165	Celeribacter manganoxidans DY25	100	0	3956796	3956796 
GNM020171225	Phaeobacter italicus  strain=DP3N0-3	99.77	0	3948491	3957593 
GNM016653205	Rhodovulum sulfidophilum IM796	98.91	1.21	3962372	3957623 
GNM900108225	Thalassococcus halodurans DSM 26915	100	0.31	3971912	3959637 
GNM003611275	Sulfitobacter sp. D7	100	0	3963108	3963108 
GNM000466965	Limimaricola cinnabarinus LL-001	97.81	0.46	3896245	3964837 
GNM018862045	Roseovarius sp. PS-C2	99.55	0.29	3958657	3965001 
GNM021736025	Sulfitobacter sp. M22  strain=M22	99.36	1.12	3984365	3965331 
GNM016428585	Sedimentitalea sp. CAU 1593	99.89	0.43	3979826	3967131 
GNM013377555	Donghicola mangrovi C2-DW-16	99.7	0.3	3967367	3967367 
GNM003663885	Litoreibacter meonggei DSM 29466	99.24	0.31	3949755	3967609 
GNM014872775	Rhodobacteraceae bacterium MAG6	98.9	0.22	3933228	3968148 
GNM900111045	Thalassobius gelatinovorus DSM 5887	99.69	0	3957105	3969410 
GNM001550085	Celeribacter halophilus ZXM137	99.39	0.31	3958855	3970767 
GNM021735945	Sulfitobacter sp. M220  strain=M220	99.28	1.5	4001943	3970969 
GNM002708965	Roseobacter sp. SP159	90.22	0.92	3619350	3971198 
GNM012932215	Roseobacter ponti	99.25	0.48	3962631	3973359 
GNM019655435	Jannaschia sp. AI_62  strain=AI_62	98.59	0	3918448	3974488 
GNM022814865	Shimia aestuarii  strain=AMM-P-2	99.57	0.35	3972025	3975205 
GNM003610455	Sulfitobacter guttiformis DSM 11458	99.39	0.61	3975823	3975823 
GNM003072125	Pelagivirga sediminicola BH-SD19	100	0.15	3981807	3975843 
GNM900302505	Primorskyibacter insulae CECT 8871	100	0.76	4006290	3976072 
GNM001879695	Nioella sediminis JS7-11	99.46	0.04	3958683	3978576 
GNM004329695	Roseovarius sp. JS7-11	99.46	0.04	3958683	3978576 
GNM019801785	Phaeobacter italicus  strain=DP7Y7-1	99.77	0	3974251	3983413 
GNM016813535	Sulfitobacter mediterraneus SC2-8	99.57	0.38	3982915	3984907 
GNM016813805	Sulfitobacter mediterraneus SC2-3	99.57	0.38	3982915	3984907 
GNM016813595	Sulfitobacter mediterraneus SC2-86	99.57	0.38	3983245	3985238 
GNM016813835	Sulfitobacter mediterraneus SC2-1	99.57	0.38	3983571	3985564 
GNM016813695	Sulfitobacter mediterraneus SC2-81	99.57	0.38	3983916	3985909 
GNM016813735	Sulfitobacter mediterraneus SC2-5	99.57	0.38	3983916	3985909 
GNM016813575	Sulfitobacter mediterraneus SC2-87	99.57	0.38	3983970	3985963 
GNM016813745	Sulfitobacter mediterraneus SC2-7	99.57	0.38	3983970	3985963 
GNM016813935	Sulfitobacter mediterraneus SC2-11	99.57	0.38	3983970	3985963 
GNM014872815	Rhodobacteraceae bacterium MAG5	99.47	0	3964870	3985996 
GNM016813655	Sulfitobacter mediterraneus SC2-83	99.57	0.38	3984042	3986035 
GNM016813665	Sulfitobacter mediterraneus SC2-84	99.57	0.38	3984042	3986035 
GNM016813715	Sulfitobacter mediterraneus SC2-82	99.57	0.38	3984042	3986035 
GNM016813775	Sulfitobacter mediterraneus SC2-6	99.57	0.38	3984042	3986035 
GNM016813615	Sulfitobacter mediterraneus SC2-88	99.57	0.38	3984276	3986269 
GNM900172295	Pelagicola litorisediminis CECT 8287	100	0.31	3998736	3986378 
GNM013315265	Sulfitobacter sp. 1151	99.39	0.12	3966869	3986402 
GNM002158905	Yoonia vestfoldensis SMR4r	99.69	0.31	3987360	3987360 
GNM009363575	Roseivivax sp. THAF30	98.69	0.9	3971051	3987399 
GNM019218265	Maritimibacter sp. DP4N28-5  strain=DP4N28-5	99.29	0	3959618	3987932 
GNM005887615	Sulfitobacter sabulilitoris HSMS-29	98.94	0	3946185	3988463 
GNM000622425	Sulfitobacter guttiformis KCTC 32187	99.39	0.31	3976672	3988638 
GNM018069545	Roseovarius sp. 640_Coassembly_bin.13	96.16	3.01	3956823	3989939 
GNM016813635	Sulfitobacter mediterraneus SC2-85	99.57	0.38	3989938	3991934 
GNM009931615	Rhodobacteraceae bacterium 9Alg 56	99.6	0.43	3994758	3993560 
GNM001507595	Ruegeria marisrubri ZGT118	99.69	0.76	4012034	3994061 
GNM900184815	Boseongicola aestuarii CECT 8489	99.69	0.46	4001270	3995277 
GNM900114415	Shimia haliotis DSM 28453	99.69	0.31	3995969	3995969 
GNM014901205	Fluviibacterium sp. MJW13	99.6	0.91	4018212	3997823 
GNM900109705	Roseivivax marinus DSM 27511	99.69	0.51	4013190	4005180 
GNM015220045	Marivivens sp. GSB7	99.94	1.21	4051696	4005631 
GNM014884385	Phaeobacter sp. F10	99.22	0.8	4008202	4007401 
GNM2889183490	Nautella sp. R17_0	99.77	0.77	4031951	4010295 
GNM012295595	Thalassobius gelatinovorus NEB572	99.25	0	3985688	4015807 
GNM017743945	Phaeobacter italicus R17_0	99.77	0.41	4024906	4017674 
GNM000156115	Rhodobacterales sp. HTCC2083	99.69	0.31	4018415	4018415 
GNM001879715	Nioella nitratireducens SSW136	99.92	0	4015438	4018653 
GNM900110775	Litorimicrobium taeanense DSM 22007	99.69	0.31	4019514	4019514 
GNM019655415	Jannaschia sp. AI_61  strain=AI_61	98.59	0	3963206	4019886 
GNM013032405	HKCCD6438-2	99.79	0	4011578	4020020 
GNM007004065	Paenimaribius caenipelagi JBTF-M29	99.69	0.31	4020978	4020978 
GNM003148775	Roseicyclus mahoneyensis DSM 16097	99.62	0.61	4030284	4021036 
GNM023015725	Loktanella sp. F6476L  strain=F6476L	99.09	0.25	3994846	4021387 
GNM020627725	Rhodobacteraceae bacterium MAG-40	96.2	0.41	3891708	4028266 
GNM014640375	Cribrihabitans marinus CGMCC 1.13219	100	0.59	4053647	4029871 
GNM015689745	HKCCSP123	98.28	0.15	3969536	4032852 
GNM002892005	Phaeobacter inhibens P57	99.39	0.31	4021447	4033548 
GNM016813475	Sulfitobacter mediterraneus SC4-2	99.57	0.38	4033497	4035515 
GNM016813365	Sulfitobacter mediterraneus SC4-3	99.57	0.38	4033801	4035819 
GNM016813245	Sulfitobacter mediterraneus SC4-5	99.57	0.38	4033845	4035863 
GNM016813175	Sulfitobacter mediterraneus SC4-9	99.57	0.38	4034339	4036357 
GNM016813075	Sulfitobacter mediterraneus SC7-33	99.57	0.38	4034374	4036392 
GNM016813315	Sulfitobacter mediterraneus SC4-47	99.57	0.38	4034374	4036392 
GNM016813335	Sulfitobacter mediterraneus SC4-42	99.57	0.38	4034408	4036426 
GNM016813275	Sulfitobacter mediterraneus SC4-4	99.57	0.38	4034418	4036436 
GNM016813095	Sulfitobacter mediterraneus SC7-25	99.57	0.38	4034552	4036570 
GNM016813205	Sulfitobacter mediterraneus SC4-8	99.57	0.38	4034552	4036570 
GNM016813195	Sulfitobacter mediterraneus SC4-7	99.57	0.38	4034606	4036624 
GNM016813855	Sulfitobacter mediterraneus SC2-14	99.57	0.38	4034606	4036624 
GNM016813415	Sulfitobacter mediterraneus SC4-36	99.57	0.38	4034761	4036779 
GNM016813105	Sulfitobacter mediterraneus SC7-26	99.57	0.38	4034828	4036846 
GNM016813435	Sulfitobacter mediterraneus SC4-34	99.57	0.38	4034852	4036870 
GNM016813455	Sulfitobacter mediterraneus SC4-35	99.57	0.38	4034874	4036892 
GNM016813795	Sulfitobacter mediterraneus SC2-4	99.57	0.38	4035121	4037140 
GNM016812995	Sulfitobacter mediterraneus SC7-34	99.57	0.38	4035132	4037151 
GNM016813135	Sulfitobacter mediterraneus SC7-17	99.57	0.38	4035168	4037187 
GNM016813295	Sulfitobacter mediterraneus SC4-48	99.57	0.38	4035277	4037296 
GNM016813355	Sulfitobacter mediterraneus SC4-38	99.57	0.38	4035277	4037296 
GNM016813005	Sulfitobacter mediterraneus SC7-4	99.57	0.38	4035331	4037350 
GNM016813015	Sulfitobacter mediterraneus SC7-9	99.57	0.38	4035331	4037350 
GNM016813235	Sulfitobacter mediterraneus SC4-6	99.57	0.38	4035331	4037350 
GNM016813055	Sulfitobacter mediterraneus SC7-27	99.57	0.38	4035349	4037368 
GNM016813395	Sulfitobacter mediterraneus SC4-37	99.57	0.38	4035349	4037368 
GNM016813495	Sulfitobacter mediterraneus SC4-16	99.57	0.38	4035349	4037368 
GNM016813145	Sulfitobacter mediterraneus SC7-10	99.57	0.38	4035403	4037422 
GNM016813555	Sulfitobacter mediterraneus SC4-12	99.57	0.38	4035403	4037422 
GNM016813895	Sulfitobacter mediterraneus SC2-12	99.57	0.38	4035574	4037593 
GNM016813515	Sulfitobacter mediterraneus SC4-15	99.57	0.38	4035625	4037644 
GNM016813875	Sulfitobacter mediterraneus SC2-13	99.57	0.38	4035970	4037989 
GNM021043225	Sulfitobacter mediterraneus  strain=SC7-37	99.57	0.38	4040598	4042619 
GNM001635605	Sulfitobacter sp. HI0054	99.54	3.72	4174729	4042929 
GNM900109195	Pseudooceanicola nitratireducens CGMCC 1.7292	100	0.46	4063489	4044883 
GNM018066915	Roseovarius sp. Lab_640_Diesel_bin.19	96.71	2.64	4020717	4047023 
GNM003651245	Roseovarius spongiae HN-E21	99.39	0.76	4053554	4047483 
GNM000152645	Sulfitobacter sp. NAS-14.1	99.08	0	4010516	4047755 
GNM016801755	Sulfitobacter mediterraneus SC7-37	99.57	0.38	4046066	4048090 
GNM001292625	Shimia sp. SK013	100	0	4049808	4049808 
GNM900112545	Pseudooceanicola nitratireducens DSM 29619	100	0.46	4068972	4050340 
GNM002731875	Roseobacter sp. NP10	98.88	3.06	4132734	4054085 
GNM001550095	Celeribacter ethanolicus NH195	99.69	4.08	4207301	4054448 
GNM002341365	Celeribacter baekdonensis UBA2508	97.25	0.61	3971279	4058123 
GNM017643935	Shimia sp. HCUG1433-4	99.47	0.56	4062863	4061645 
GNM003590145	Pseudooceanicola algae Lw-13e	100	0.1	4067555	4063492 
GNM003605175	Rhodobacteraceae bacterium IMCC 34051	100	0.46	4086153	4067443 
GNM900142625	Roseovarius marisflavi DSM 29327	99.69	0.61	4080216	4068012 
GNM013034225	HKCCA5270	99.25	0	4038299	4068815 
GNM003443595	Phaeobacter sp. LSS9	99.24	0	4038237	4069163 
GNM003313245	Primorskyibacter marinus PX7	99.69	0.31	4069681	4069681 
GNM900142085	Shimia gijangensis DSM 100564	100	0.61	4094570	4069745 
GNM001258055	Phaeobacter italicus CECT 7645	99.39	0.05	4049567	4072372 
GNM000622385	Sulfitobacter noctilucicola NB-77	99.85	0.46	4085976	4073349 
GNM001678945	Phaeobacter gallaeciensis JL2886	99.08	0.61	4061725	4074356 
GNM002796795	Epibacterium ulvae U95	99.69	0.76	4092893	4074557 
GNM014196965	Confluentimicrobium naphthalenivorans DSM 105040	99.39	1.18	4098108	4074881 
GNM016623495	Limibaculum sp. M0105 M0105	99.1	0.4	4055176	4075554 
GNM001458175	Shimia marina CECT 7688	97.73	0.46	4001860	4075629 
GNM900142295	Oceanicola litoreus DSM 29440	100	0.41	4095462	4078739 
GNM022340385	Rhodobacter sp. MASabin.1	94.84	1.43	3926721	4078863 
GNM002384975	Maritimibacter sp. UBA3975	99.24	1.38	4104456	4079165 
GNM900113345	Phaeobacter italicus DSM 26436	99.39	0.05	4056899	4079746 
GNM013155465	Rhodophyticola sp. DY48A3-103	99.17	0.61	4071611	4080588 
GNM001634885	Sulfitobacter sp. HI0040	99.39	2.97	4181428	4085021 
GNM014197555	Sulfitobacter noctilucicola DSM 101015	99.36	0.43	4078304	4086886 
GNM002891905	Phaeobacter piscinae P71	99.39	0.31	4075118	4087380 
GNM004803475	Aliishimia ponticola MYP11	99.69	0	4076386	4089062 
GNM017854675	Rhodobacteraceae bacterium DEBay_Spr20G08_38	90.94	1.84	3795116	4090446 
GNM020622295	Phaeobacter sp. MR  strain=MR	99.89	0.43	4103796	4090706 
GNM011050655	Roseobacter sp. HyVt-317	97.23	2.94	4098692	4091736 
GNM900110425	Salinihabitans flavidus DSM 27842	99.39	0.51	4088599	4092692 
GNM001251095	Phaeobacter italicus CECT 7321	99.08	0	4055188	4092842 
GNM000877395	Jannaschia aquimarina GSW-M26	99.31	0.82	4098947	4093625 
GNM001408515	Jannaschia seosinensis CECT 7799	93.12	0.51	3833324	4094119 
GNM018678075	Epibacterium ulvae 4A10	100	0	4096572	4096572 
GNM003054325	Sulfitobacter mediterraneus DSM 12244	99.69	0.31	4099776	4099776 
GNM001650895	Rhodobacteraceae bacterium EhC02	99.39	0.31	4089081	4101385 
GNM900302465	Ascidiaceihabitans donghaensis CECT 8599	99.39	0	4077640	4102666 
GNM006351965	Oceanicola sp. D3	98.74	0.05	4053612	4103261 
GNM900114485	Loktanella salsilacus DSM 16199	99.39	1.22	4130155	4105114 
GNM011050585	Sulfitobacter litoralis HyVt-323	98.4	2.14	4127440	4105272 
GNM000172095	Sulfitobacter indolifex HEL-45	100	0	4105524	4105524 
GNM012103375	Rhodobacteraceae bacterium MH-Pat-all_autometa_1-0	97.93	0	4021902	4106915 
GNM006363825	Pelagovum pacificum SM1903	99.92	0.1	4108753	4107931 
GNM900188045	Jannaschia aquimarina DSM 28248	99.39	0.82	4117706	4109077 
GNM905479895	Sulfitobacter sp. 10_20180511_Bin_89_sub_1	98.72	0.22	4065800	4109359 
GNM000153305	Oceanicola granulosus HTCC2516	98.17	0.46	4053139	4109438 
GNM000170875	Roseobacter sp. AzwK-3b	100	1.68	4178704	4109662 
GNM017390475	Loktanella sp. RGIG994	99.59	0.86	4129268	4110770 
GNM013032325	HKCCD7266	99.79	0	4102618	4111252 
GNM021272185	Roseivivax sp. GX 12232  strain=GX 12232	99.4	0.9	4123818	4111484 
GNM021021435	Seohaeicola saemankumensis  strain=IOP_23	98.69	0.68	4086917	4112828 
GNM013032345	HKCCD7232	99.79	0	4105793	4114433 
GNM001890925	Planktotalea frisia SH6-1	99.39	0.31	4106736	4119093 
GNM002285435	Actibacterium ureilyticum LS-811	100	0.61	4145296	4120163 
GNM001305615	Confluentimicrobium sp. EMB200-NS6	99.69	0.92	4147426	4122280 
GNM002388965	Leisingera sp. UBA4491	98.6	1.68	4134743	4123198 
GNM017872555	HKCCSA071	99.57	0	4106607	4124342 
GNM900182725	Lutimaribacter litoralis DSM 29506	99.69	0	4112158	4124945 
GNM002210085	Roseovarius sp. 22II1-1F6A	100	0.15	4131422	4125234 
GNM001457775	Phaeobacter sp. CECT 5382	99.69	0	4112935	4125725 
GNM001634785	Sulfitobacter sp. HI0023	99.54	4.69	4303594	4128940 
GNM002892165	Phaeobacter inhibens P59	99.39	0	4103784	4128971 
GNM900112745	Shimia marina DSM 26895	98.03	0.31	4061252	4129807 
GNM900172365	Roseovarius gaetbuli CECT 8370	99.69	0.31	4130403	4130403 
GNM000622345	Sulfitobacter mediterraneus KCTC 32188	99.69	0.31	4131080	4131080 
GNM002073975	Rhodovulum sp. MB263	99.69	1.07	4162560	4131163 
GNM002892265	Phaeobacter inhibens P48/M21-2.3	99.39	0	4109120	4134339 
GNM2835788225	Ruegeria sp. CNT1-13L.2	99.68	0.32	4135578	4135578 
GNM021405505	Ruegeria pomeroyi  strain=SZCCDBD003	99.68	0	4123039	4136275 
GNM002891985	Phaeobacter inhibens P51	99.39	0.31	4124503	4136914 
GNM016814435	Sulfitobacter mediterraneus MC36-49	99.89	0.45	4153719	4139644 
GNM900182615	Ruegeria faecimaris DSM 28009	99.39	0	4115084	4140340 
GNM002407245	Phaeobacter piscinae P14	99.39	0.31	4129511	4141937 
GNM016019955	Pseudoruegeria sp. GL-11-2	99.89	0.43	4158699	4145434 
GNM002407265	Celeribacter ethanolicus TSPH2	99.69	0.56	4157437	4147069 
GNM2521172554	Roseobacter sp. R2A57	99.36	0.32	4136410	4149689 
GNM022788735	Sulfitobacter dubius  strain=DSM 109990	99.68	0.64	4165312	4152026 
GNM900109035	Cribrihabitans marinus DSM 29340	100	0.51	4175922	4154733 
GNM900112515	Epibacterium multivorans DSM 26470	99.69	0	4148996	4161898 
GNM013035615	HKCCA5777	99.25	0	4132620	4163849 
GNM001633145	Rhodovulum sulfidophilum TUT	99.69	1.07	4196493	4164840 
GNM016757195	Rhodovulum sulfidophilum AB20	98.15	3.48	4234138	4166228 
GNM000014065	Ruegeria sp. TM1040	99.69	0	4153699	4166616 
GNM002888715	Phaeobacter piscinae P23/M2-4.2	99.39	0.61	4166832	4166832 
GNM013035565	HKCCA5751	99.25	0	4135977	4167231 
GNM013034565	HKCCA5491	99.19	0.59	4158731	4167900 
GNM013031165	HKCCD7251	99.25	0.16	4144219	4168815 
GNM013031185	HKCCD7239	99.25	0.16	4144219	4168815 
GNM013032365	HKCCD7223	99.79	0	4162557	4171317 
GNM900128995	Loktanella atrilutea DSM 29326	99.39	1.43	4206024	4171815 
GNM013031885	HKCCD6210	99.25	0	4140627	4171916 
GNM003254185	Planktotalea frisia DSM 23709	99.39	0.31	4159922	4172439 
GNM014643735	Amylibacter cionae CGMCC 1.15880	99.85	0.56	4190336	4173226 
GNM013033945	HKCCA5816	99.47	0.16	4157902	4173343 
GNM023015645	Pseudohalocynthiibacter sp. F2068  strain=F2068	99.39	0.45	4167636	4174315 
GNM013032025	HKCCD9122	99.47	0.02	4153509	4174800 
GNM003097275	Phaeobacter gallaeciensis JL2872	99.39	0.31	4165276	4177809 
GNM015679265	Pontivivens sp. MT2928	100	0.5	4199362	4178470 
GNM009857745	Rhodobacteraceae bacterium GS-10	99.36	0.11	4156728	4178876 
GNM017872595	HKCCSP346	99.15	0.16	4150895	4179735 
GNM014645075	Wenxinia marina CGMCC 1.6105	99.39	0.45	4174507	4181197 
GNM004358675	Fluviibacterium aquatile SM1902	99.54	1.53	4226543	4181798 
GNM021405465	Ruegeria pomeroyi  strain=SZCCDBAO042	99.68	0	4169708	4183094 
GNM020622165	Boseongicola sp. H5  strain=H5	99.64	1.36	4225430	4183594 
GNM900129875	Marivita hallyeonensis DSM 29431	100	0.2	4193223	4184853 
GNM016814395	Sulfitobacter mediterraneus MC36-47	99.89	0.45	4199098	4184869 
GNM014763045	Sulfitobacter sp. TSTF-M16	99.57	0.61	4193151	4185617 
GNM016814415	Sulfitobacter mediterraneus MC36-3	99.89	0.45	4200560	4186326 
GNM016814535	Sulfitobacter mediterraneus MC36-12	99.89	0.45	4200603	4186369 
GNM016814325	Sulfitobacter mediterraneus SC1-40	99.89	0.45	4200656	4186422 
GNM016814295	Sulfitobacter mediterraneus SC1-43	99.89	0.45	4200666	4186432 
GNM003443555	Phaeobacter inhibens 2.10	99.39	0	4160913	4186450 
GNM016814455	Sulfitobacter mediterraneus MC36-16	99.89	0.45	4200795	4186561 
GNM016814495	Sulfitobacter mediterraneus SC1-12	99.89	0.45	4200964	4186729 
GNM016814375	Sulfitobacter mediterraneus MC36-56	99.89	0.45	4200969	4186734 
GNM016814315	Sulfitobacter mediterraneus SC1-41	99.89	0.45	4201156	4186920 
GNM016814475	Sulfitobacter mediterraneus MC36-130	99.89	0.45	4201156	4186920 
GNM016814555	Sulfitobacter mediterraneus SC1-13	99.89	0.45	4201252	4187016 
GNM017872535	HKCCSP351	99.57	0.16	4175760	4187065 
GNM013032185	HKCCD8344	99.41	0.02	4164393	4188266 
GNM001458415	Epibacterium multivorans CECT 7557	99.69	0	4175618	4188603 
GNM017744035	Shimia sp. R11_0	98.19	0.96	4153306	4188912 
GNM020441395	Rhodobacteraceae bacterium HKST-UBA86	96.23	0.8	4065325	4189761 
GNM016814515	Sulfitobacter mediterraneus SC1-9	99.89	0.45	4205410	4191160 
GNM021043185	Sulfitobacter mediterraneus  strain=SC1-11	99.89	0.45	4205868	4191617 
GNM016814565	Sulfitobacter mediterraneus SC1-79	99.89	0.45	4206434	4192181 
GNM016814595	Sulfitobacter mediterraneus SC1-42	99.89	0.45	4206607	4192353 
GNM020171305	Ruegeria marisrubri  strain=DP4N0-4	99.47	0	4172769	4195003 
GNM003352065	Sulfitobacter sp. SK011	99.69	0.2	4190786	4195401 
GNM016801775	Sulfitobacter mediterraneus SC1-11	99.89	0.45	4211149	4196880 
GNM013110685	HKCCD6157	99.47	0.32	4188307	4197121 
GNM018101115	Phaeobacter sp. HS012 HS012	99.42	0	4173585	4197933 
GNM018101215	Phaeobacter sp. HS011 HS011	99.42	0	4174113	4198464 
GNM013034025	HKCCA5693	99.25	0.11	4173453	4200335 
GNM900313045	Sulfitobacter sp. EL44	99.39	0.66	4203569	4201468 
GNM017743795	Ruegeria sp. R8_2	99.57	0.05	4185571	4201537 
GNM913054155	uncultured Phaeobacter sp. SRR3646363_bin.4_MetaBAT_v2.12.1_MAG	96.55	0.59	4082693	4202896 
GNM003288315	Roseovarius sp. AK1035	99.39	0.61	4203542	4203542 
GNM000622325	Sulfitobacter geojensis MM-124	100	0.61	4229467	4203824 
GNM013033815	HKCCC1522	99.25	0	4174394	4205939 
GNM020425125	Rhodobacteraceae bacterium HKST-UBA101	94.34	1.2	4018432	4206021 
GNM013407805	Sulfitobacter geojensis DSM 101063	99.68	0.64	4222073	4208605 
GNM013031225	HKCCD7221	99.57	0.48	4211111	4209006 
GNM013034325	HKCCA4717	99.31	0.16	4187042	4209352 
GNM000170775	Roseovarius sp. TM1035	99.39	0.61	4209812	4209812 
GNM017743815	Ruegeria sp. R8_1	99.57	0.05	4194401	4210401 
GNM013032205	HKCCD8504	99.25	0.11	4183735	4210683 
GNM009882975	Maritimibacter sp. DP07	99.7	1.13	4246927	4211968 
GNM900095785	Donghicola sp. KarMa	99.69	0.31	4212842	4212842 
GNM003443575	Phaeobacter inhibens BS107	99.39	0	4188145	4213849 
GNM016019975	Pseudoruegeria sp. ZH2-Y79	99.89	0.75	4241146	4214175 
GNM010614805	Pseudooceanicola sp. E2-1	99.1	0.5	4199288	4216153 
GNM000826835	Phaeobacter piscinae S26	99.39	0.61	4216386	4216386 
GNM013034375	HKCCA4709	99.31	0.16	4194622	4216972 
GNM013033155	HKCCA0503	99.31	0.16	4195210	4217563 
GNM900215355	Pseudooceanicola antarcticus CGMCC 1.12662	100	0.31	4232532	4219452 
GNM013033805	HKCCC1591	99.25	0	4188752	4220405 
GNM013034125	HKCCA5489	99.25	0	4189840	4221501 
GNM013034355	HKCCA4710	99.31	0.16	4199556	4221932 
GNM900114635	Shimia aestuarii DSM 15283	100	0.1	4226671	4222449 
GNM002412025	Phaeobacter piscinae P36	99.39	0.92	4239045	4225945 
GNM002892245	Phaeobacter piscinae P42	99.39	0.92	4239045	4225945 
GNM900106805	Ruegeria halocynthiae DSM 27839	99.69	0.71	4243668	4226761 
GNM017993425	Amaricoccus sp. Go_SlAct_bin_99	99.4	0.9	4240125	4227443 
GNM005938215	Ruegeria sediminis CAU 1488	99.57	0.48	4230323	4228209 
GNM016815135	Sulfitobacter geojensis MP20-31	99.04	0.32	4201976	4229042 
GNM001941745	Rhodovulum sulfidophilum AB30	99.54	1.07	4256231	4230425 
GNM013034585	HKCCA5426	99.25	0.16	4206297	4231261 
GNM004346865	Shimia isoporae DSM 26433	99.69	0.31	4232765	4232765 
GNM001888185	Phaeobacter porticola P97	99.39	0	4207221	4233043 
GNM2929254661	Rhodovulum sulfidophilum NP	99.22	0.91	4239334	4233830 
GNM006125015	Roseovarius sp. MK6-18	99.39	0.31	4221330	4234032 
GNM900107235	Citreimonas salinaria DSM 26880	99.69	0.92	4259991	4234163 
GNM013031585	HKCCD7206-2	99.25	0	4203658	4235424 
GNM003172915	Rhodobacteraceae bacterium TG-679	100	1.38	4294927	4236464 
GNM013035855	HKCCA4830	99.25	0	4205320	4237098 
GNM011806385	Phaeobacter sp. HF9A	99.25	1.57	4271984	4237239 
GNM900112755	Sulfitobacter brevis DSM 11443	99.62	0.33	4236215	4238334 
GNM013031625	HKCCD7206-1	99.25	0	4207272	4239065 
GNM013033855	HKCCC1047	99.47	0.16	4224697	4240386 
GNM913054185	uncultured Shimia sp. SRR3646399_bin.12_MetaBAT_v2.12.1_MAG	93.87	1.46	4042431	4240461 
GNM013034045	HKCCA5511	99.25	0	4209685	4241496 
GNM013031465	HKCCD8727	99.25	0	4210770	4242589 
GNM013033075	HKCCA0219	99.25	0	4214034	4245878 
GNM900111315	Roseivivax roseus DSM 23042	99.69	0	4233461	4246626 
GNM003008555	Thalassococcus sp. SH-1	99.57	0.8	4262966	4247251 
GNM002892185	Phaeobacter inhibens P54	99.39	0.61	4248079	4248079 
GNM019392245	Sulfitobacter sp. CW3  strain=CW3	99.68	1.71	4308788	4249717 
GNM013032125	HKCCD8715	99.31	0.16	4229064	4251597 
GNM013034165	HKCCA5280	99.15	0.32	4229865	4252403 
GNM000154765	Phaeobacter gallaeciensis DSM 17395	99.39	0	4227134	4253078 
GNM018972145	Ruegeria pomeroyi DSS-3-B	96.49	0.64	4131101	4253167 
GNM013033065	HKCCA0158	99.25	0	4221291	4253190 
GNM000768555	Roseovarius mucosus DSM 17069	99.39	0.31	4241818	4254582 
GNM013033105	HKCCA0044	99.25	0	4224370	4256292 
GNM013035525	HKCCA5940	99.25	0	4225210	4257139 
GNM022763485	Rhodobacteraceae bacterium HH_bin4	97.19	1.06	4183237	4257748 
GNM002695005	Maritimibacter sp. EAC76	99.24	0.92	4265341	4258527 
GNM017872545	HKCCSP335	99.57	0.32	4254751	4259436 
GNM013034105	HKCCA5505	99.25	0	4229162	4261120 
GNM009363255	Roseivivax sp. THAF197b	98.49	0.98	4239681	4262271 
GNM001650795	Sulfitobacter geojensis EhN01	99.69	0.39	4266442	4263032 
GNM002888685	Phaeobacter inhibens P10/01/009	99.39	0	4237605	4263613 
GNM013035655	HKCCA5687	98.19	0.32	4201816	4265370 
GNM000836695	Wenxinia marina DSM 24838	97.71	0.31	4180927	4265382 
GNM013032455	HKCCD6218	99.47	0	4243278	4265887 
GNM003539745	Rhodobacteraceae bacterium UBA9557	93.1	0.61	3998076	4266435 
GNM013035275	HKCCC2149	99.25	0	4235974	4267984 
GNM013031825	HKCCD6116	99.57	0	4250117	4268471 
GNM013031835	HKCCD6115	99.57	0	4250257	4268612 
GNM013032525	HKCCD6128	99.47	0	4246024	4268648 
GNM021405385	Ruegeria pomeroyi  strain=HKCCSA032	99.68	0	4255023	4268683 
GNM013031175	HKCCD9179	99.25	0.68	4265724	4268712 
GNM013035845	HKCCA4824	99.25	0	4236812	4268828 
GNM001507545	Ruegeria profundi ZGT108	99.69	0	4258055	4271296 
